modelo,conjunto,AUC_PR,AUC_ROC,KS,Brier,lift_decil_1,captura_top20pct
0. Regla de negocio (ratio<0.15 ó ETAPA>=M2),train,0.5197500769704603,0.8070675246558241,0.6141350493116482,0.20727098659679533,1.9277033106965078,0.41496138996139
1. Regresión logística,CV 5-fold agrupada (OOF),0.7737445411242141,0.9179611084024353,0.699327865201314,0.1205125232856288,3.1864539952975326,0.5882239382239383
2. Random Forest,CV 5-fold agrupada (OOF),0.8168693109864487,0.931069513996863,0.7137097096902087,0.10913291646123657,3.401715807157984,0.6168918918918919
3. LightGBM,CV 5-fold agrupada (OOF),0.8480204280244766,0.9436648461864097,0.7490188085067397,0.08437179812676948,3.5214129581476517,0.6346525096525096
4. Ensamble (promedio de rangos),CV 5-fold agrupada (OOF),0.8372528681676555,0.9392695302401426,0.73276331356585,0.16278849525189645,3.4731479779098824,0.6301158301158302
3b. LightGBM SIN variables de saldo (robustez),CV 5-fold agrupada (OOF),0.6957507029786123,0.849551715429852,0.5101292380611895,0.13109567458253893,3.204794687787885,0.5128378378378379
