k,ARI_medio,ARI_min,ARI_desv
3,0.6065004964862825,0.31210334527651684,0.10026839919558125
4,0.809956492684505,0.3006812564309124,0.256886472560166
5,0.7941696835303779,0.39198562966616474,0.22603964876836236
6,0.9706547673209431,0.9523597926899897,0.011966676987782901
7,0.8948013436202388,0.5676731091298087,0.1466488040097075
