k,inercia,silueta,davies_bouldin,calinski_harabasz
2,31723.78726799839,0.2917731488360292,1.3650748220255613,9009.461340003074
3,27330.16880975204,0.27200520107743265,1.4272335051286937,6836.030126899185
4,23445.614016952713,0.23090708551426228,1.5341140758814764,6416.540290524488
5,20540.626448939987,0.24358152333578972,1.2917011028338685,6199.661880854146
6,17846.50192974208,0.26226629054304157,1.1871178374119586,6311.834455942617
7,16129.079090747724,0.256390697382998,1.167586377920657,6174.441938351581
8,14993.002196534908,0.25143952021339183,1.1771159345826125,5909.5225511206
