variable,coef,abs,odds_ratio
cat__PRODUCTO_infrequent_sklearn,3.766416917180099,3.766416917180099,43.22490860562107
num__ratio_saldo_capital,-3.099737470965233,3.099737470965233,0.04506103066974423
cat__PRODUCTO_43,3.0941772555104676,3.0941772555104676,22.06907385721984
cat__PRODUCTO_45,-2.377872585569373,2.377872585569373,0.09274768053006698
cat__TIPO_CREDITO_E,2.3578719442307494,2.3578719442307494,10.568437281295978
num__es_ratio_alto,2.2885580663884584,2.2885580663884584,9.860708937536005
cat__AGENCIA_47,2.275427155717595,2.275427155717595,9.732075236400592
cat__PRODUCTO_48,-2.2629129222621054,2.2629129222621054,0.10404696218810078
cat__SUBPRODUCTO_11,2.159194436710712,2.159194436710712,8.66415532102438
cat__TIPO_CREDITO_B,-2.133312250297265,2.133312250297265,0.11844432615348037
cat__PRODUCTO_58,-2.0875280780432752,2.0875280780432752,0.12399325896463302
cat__AGENCIA_61,2.0372298207252717,2.0372298207252717,7.669334313894055
cat__REGION_15,-1.8642592705366041,1.8642592705366041,0.15501098857606824
cat__AGENCIA_78,1.7472509582132403,1.7472509582132403,5.738804757301564
cat__AGENCIA_51,-1.7124097433903382,1.7124097433903382,0.1804304771787263
cat__AGENCIA_5,-1.7048324810198505,1.7048324810198505,0.18180283905076505
cat__PRODUCTO_44,1.6796030360652978,1.6796030360652978,5.3634264616090155
cat__SUBPRODUCTO_4,-1.5022455669782375,1.5022455669782375,0.2226296685829315
cat__SUBPRODUCTO_22,-1.4784040886020244,1.4784040886020244,0.22800126800857914
cat__AGENCIA_111,1.4575107073826221,1.4575107073826221,4.295254065123952
cat__AGENCIA_100,1.4548956826010995,1.4548956826010995,4.284036542742673
cat__REGION_9,1.442543800394426,1.442543800394426,4.2314460921606685
cat__AGENCIA_45,1.4044010809929452,1.4044010809929452,4.073086561646341
cat__AGENCIA_30,-1.3753488963740024,1.3753488963740024,0.25275139637369154
cat__AGENCIA_114,-1.3350491850115025,1.3350491850115025,0.26314523233644826
cat__SUBPRODUCTO_8,1.3208559363304726,1.3208559363304726,3.7466268792750403
cat__AGENCIA_101,-1.2140078826060359,1.2140078826060359,0.2970045315338703
cat__TIPO_CREDITO_C,-1.208487433685328,1.208487433685328,0.2986486638782771
num__CREDITOS_ANTERIORES,-1.1701204770018379,1.1701204770018379,0.31032955143928403
cat__AGENCIA_69,-1.1612665365947947,1.1612665365947947,0.3130893904903726
cat__REGION_14,-1.1612665365947947,1.1612665365947947,0.3130893904903726
cat__SUBPRODUCTO_1,1.1514572395625362,1.1514572395625362,3.162798508259094
cat__AGENCIA_1,-1.1184224121806756,1.1184224121806756,0.32679493588617986
cat__REGION_30,-1.1184224121806756,1.1184224121806756,0.32679493588617986
cat__PRODUCTO_90,-1.1184224121806756,1.1184224121806756,0.32679493588617986
cat__AGENCIA_95,-1.073900050044674,1.073900050044674,0.3416733722937658
cat__TIPO_CREDITO_V,-1.0029550481833587,1.0029550481833587,0.36679394433474904
cat__AGENCIA_103,-0.9955876887790102,0.9955876887790102,0.3695062260590484
cat__SUBPRODUCTO_9,0.9661227446811914,0.9661227446811914,2.627736277819863
num__etapa_num,0.9608412852759542,0.9608412852759542,2.613894579699048
cat__AGENCIA_86,-0.928155218865647,0.928155218865647,0.3952822474020542
cat__PRODUCTO_57,-0.8770195102284886,0.8770195102284886,0.4160210120634716
cat__AGENCIA_115,-0.8430660775545591,0.8430660775545591,0.4303888926297603
cat__ETAPA_M2,-0.8311364124571673,0.8311364124571673,0.4355540359382719
cat__SUBPRODUCTO_24,-0.8007976761133204,0.8007976761133204,0.4489706880486504
cat__AGENCIA_70,0.7926793709905963,0.7926793709905963,2.2093080589131064
cat__AGENCIA_25,-0.7772980354807597,0.7772980354807597,0.4596462829135549
cat__TIPO_CREDITO_D,0.7738484653247025,0.7738484653247025,2.168094053668244
cat__AGENCIA_92,-0.7690575371261844,0.7690575371261844,0.46344964663531846
cat__AGENCIA_18,-0.7343605817148176,0.7343605817148176,0.4798121615783841
num__SALDO_CAPITAL,-0.6815775687416329,0.6815775687416329,0.5058183993177914
cat__AGENCIA_20,0.6788007716566254,0.6788007716566254,1.971512020905158
cat__SUBPRODUCTO_12,-0.6067197471747116,0.6067197471747116,0.5451361237404485
cat__AGENCIA_42,0.6025228319326585,0.6025228319326585,1.8267215033670268
cat__TIPO_CREDITO_infrequent_sklearn,0.5684409418589508,0.5684409418589508,1.7655123682052802
cat__AGENCIA_26,0.5562505239034465,0.5562505239034465,1.744120686214252
cat__ETAPA_M1,-0.5505925936383488,0.5505925936383488,0.5766080148761317
cat__ETAPA_M3,0.5332634702793719,0.5332634702793719,1.7044857805809246
cat__AGENCIA_21,-0.5276212501265901,0.5276212501265901,0.5900067802928706
cat__REGION_11,0.5233615276126852,0.5233615276126852,1.6876913460913048
num__tasa_rel_producto,-0.4987373365608815,0.4987373365608815,0.6072969875065867
cat__SEXO_F,-0.4984754786472746,0.4984754786472746,0.6074560338515381
cat__AGENCIA_7,0.4977321194163194,0.4977321194163194,1.6449864044585112
cat__AGENCIA_105,-0.46398863126046874,0.46398863126046874,0.6287707027568094
cat__AGENCIA_38,-0.4638220207176521,0.4638220207176521,0.6288754713124335
cat__SUBPRODUCTO_infrequent_sklearn,-0.45625878212435395,0.45625878212435395,0.6336498386281912
cat__AGENCIA_35,0.4525763975256728,0.4525763975256728,1.5723579906876533
cat__AGENCIA_13,0.44026011492785433,0.44026011492785433,1.5531111533699238
cat__PRODUCTO_42,-0.4354262205992309,0.4354262205992309,0.6469888483277636
cat__AGENCIA_16,-0.43354273020129025,0.43354273020129025,0.6482085939401472
cat__AGENCIA_22,0.4286071215274708,0.4286071215274708,1.5351178011695583
cat__SUBPRODUCTO_7,-0.42201912720066304,0.42201912720066304,0.655721497156838
cat__AGENCIA_73,0.41723889528636715,0.41723889528636715,1.5177650565462022
cat__AGENCIA_113,-0.40142948375221693,0.40142948375221693,0.6693625189687911
cat__AGENCIA_63,0.4002138457071296,0.4002138457071296,1.492143752061644
cat__AGENCIA_83,0.3965610615073678,0.3965610615073678,1.4867032155426034
cat__REGION_1,0.39527851460731317,0.39527851460731317,1.4847976711784232
cat__AGENCIA_54,0.38458437176721183,0.38458437176721183,1.4690036351558655
cat__SUBPRODUCTO_15,-0.38416443399131084,0.38416443399131084,0.6810194352282628
cat__AGENCIA_82,0.3828728439070885,0.3828728439070885,1.4664915448771512
cat__AGENCIA_29,-0.38011384223553385,0.38011384223553385,0.6837835613320082
cat__AGENCIA_43,-0.37715486018512345,0.37715486018512345,0.6858098610301218
num__TASA_NOMINAL,-0.37332592186058794,0.37332592186058794,0.6884408183627242
cat__AGENCIA_49,-0.3621340022038464,0.3621340022038464,0.6961890707211302
cat__AGENCIA_110,0.36132534404547106,0.36132534404547106,1.4352303285694057
num__ratio_x_creditos,-0.3524774489371292,0.3524774489371292,0.7029444217758283
