modelo,prob_predicha,frac_positivos
sin calibrar,0.00025740573286258154,0.0
sin calibrar,0.0008507853909339655,0.0015151515151515152
sin calibrar,0.0020594767544352536,0.0030303030303030303
sin calibrar,0.005578461097289668,0.005303030303030303
sin calibrar,0.01862894090639373,0.02878787878787879
sin calibrar,0.07262876258306164,0.12045454545454545
sin calibrar,0.2448292233230774,0.30454545454545456
sin calibrar,0.5242696305012546,0.5299015897047691
sin calibrar,0.7857495481915316,0.7103866565579985
sin calibrar,0.9480823058979788,0.9196969696969697
isotónica,0.0,0.00043535045711797995
isotónica,0.0011036406862153334,0.00322234156820623
isotónica,0.001970565815408434,0.0030181086519114686
isotónica,0.01270239048191401,0.007763975155279503
isotónica,0.03132258980653456,0.03074141048824593
isotónica,0.08953681112506809,0.13246396705559368
isotónica,0.32705863090439924,0.336518771331058
isotónica,0.5661273571315685,0.5668953687821612
isotónica,0.7730427067838496,0.7261904761904762
isotónica,0.9387073225077591,0.9296685529506872
