cluster,n,tasa_fuga_historica,capital_medio,saldo_medio,ratio_ciclo,creditos,tasa_nominal,etapa_media,pct_M2_M3,pct_primer_credito,pct_mujeres,saldo_total,%_clientes,%_cartera,n_activos,saldo_activos
0,22970,0.6177622986504135,3000.0,559.645,0.14266,2.0,43.6,1.0285589899869394,0.028558989986939485,0.3720505006530257,0.7057901610796692,18587288.46,29.139022440979844,5.22148697482145,3257,2258250.79
1,11375,0.03428571428571429,8000.0,5765.43,0.6454080000000001,3.0,43.6,1.0923076923076922,0.09142857142857143,0.013274725274725275,0.5952527472527472,100690069.55,14.429968666353753,28.285561273803513,1336,15834961.57
2,12013,0.41455090318821275,12000.0,1421.52,0.10791300000000001,4.0,30.0,1.042454008157829,0.039956713560309665,0.037792391575792894,0.6299009406476317,37542286.22,15.239315480343528,10.546269775960038,1294,3061508.68
3,4985,0.9765295887662989,5000.0,830.89,0.1546005,1.0,43.1,2.6557673019057173,1.0,0.7301905717151455,0.6308926780341023,7561470.23,6.323814839716348,2.1241462089218124,434,648336.58
4,18278,0.2990480358901412,5000.0,884.54,0.18255927272727274,4.0,43.6,1.04251012145749,0.04185359448517343,0.0,0.830780172885436,23180279.0,23.186898222735287,6.511736509157678,2262,2649536.22
5,9208,0.013032145960034752,20000.0,12660.5,0.6207190833333334,6.0,30.0,1.0418114682884447,0.040508253692441355,0.0,0.6270634231103388,168415525.56,11.68098034987124,47.31079925733552,1417,32794868.94
